dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
Adiac,0.7836317135549872,0.005626598465473144,1.3048063513007946,1.1181471462594346
ArrowHead,0.8085714285714285,0.0077722688621345345,0.09652584650320932,0.4086983389803208
Beef,0.8366666666666667,0.009999999999999998,0.12283831597305833,0.07409409929532558
BeetleFly,0.9,0.0,0.0913667352986522,0.084444167627953
BirdChicken,0.9,0.0,0.09508905308321118,0.08900867882184685
Car,0.8916666666666666,0.01707825127659934,0.17972523879725488,0.10689697021152825
CBF,1.0,0.0,0.0574465406825766,2.76647088319296
ChlorineConcentration,0.8165625000000001,0.007037227397522704,1.599332193285227,12.165764088835568
CinCECGTorso,0.836376811594203,0.005152576473806118,0.2756553455838002,8.008059851988218
Coffee,1.0,0.0,0.08002316770143807,0.08549336170544847
